,id,postcode,latitude,longitude
37,pc_037,EH8 9TE,55.946403000000004,-3.180214
38,pc_038,EH5 2QW,55.972127,-3.227288
39,pc_039,EH4 5NE,55.97049499999999,-3.26513
40,pc_040,EH5 3AH,55.97276,-3.20135
41,pc_041,EH16 4WG,55.923871,-3.119743
42,pc_042,EH3 6ES,55.955144999999995,-3.204472
43,pc_043,EH9 2JT,55.93539000000001,-3.183657
44,pc_044,EH9 1HT,55.9373,-3.194265
45,pc_045,EH2 3AA,55.951612,-3.2009830000000004
46,pc_046,EH1 3QY,55.957349,-3.189405
47,pc_047,EH4 7LJ,55.953635,-3.2905580000000003
48,pc_048,EH4 6QT,55.97541700000001,-3.2965230000000005
49,pc_049,EH4 3HB,55.95435,-3.2330200000000002
50,pc_050,EH11 1RF,55.932663,-3.229018
51,pc_051,EH4 6QT,55.97541700000001,-3.2965230000000005
52,pc_052,EH1 1HD,55.946569,-3.1891220000000002
53,pc_053,EH8 9LZ,55.940833999999995,-3.18195
54,pc_054,EH9 1ES,55.938603,-3.197107
55,pc_055,EH7 5QQ,55.961192000000004,-3.170973
56,pc_056,EH3 9QS,55.942558,-3.205234
57,pc_057,EH4 4GJ,55.967119,-3.260566
58,pc_058,EH3 7EB,55.949397999999995,-3.2160159999999998
59,pc_059,EH5 2GS,55.971709,-3.235271
60,pc_060,EH5 1NQ,55.977178,-3.231647
61,pc_061,EH4 2GF,55.967015,-3.234368
62,pc_062,EH13 0NE,55.911235,-3.264335
63,pc_063,EH3 6TG,55.956295,-3.202666
64,pc_064,EH6 5FP,55.969875,-3.177582
65,pc_065,EH7 4FB,55.964985999999996,-3.19499
66,pc_066,EH3 9LA,55.942671,-3.202804
67,pc_067,EH8 9RD,55.941058999999996,-3.176627
68,pc_068,EH3 6RY,55.959346,-3.196546
69,pc_069,EH11 4NS,55.92221,-3.2856400000000003
70,pc_070,EH6 6SZ,55.974971,-3.16953
71,pc_071,EH3 6RL,55.959175,-3.202163
72,pc_072,EH8 9AD,55.945274,-3.1878029999999997
73,pc_073,EH3 6PT,55.959334,-3.195937
74,pc_074,EH8 7RG,55.950098,-3.130219
75,pc_075,EH6 5JR,55.971173,-3.179606
76,pc_076,EH19 3NP,55.868502,-3.096334
77,pc_077,EH8 9JH,55.94245600000001,-3.182801
78,pc_078,EH6 4DB,55.97319,-3.185757
79,pc_079,EH8 8FH,55.949289,-3.18003
80,pc_080,EH8 7RN,55.947280000000006,-3.134684
81,pc_081,EH3 8HE,55.94752800000001,-3.210625
82,pc_082,EH8 9JH,55.94245600000001,-3.182801
83,pc_083,EH7 4EQ,55.9645,-3.1923310000000003
84,pc_084,EH8 9QB,55.939451,-3.178097
85,pc_085,EH3 8BB,55.945609,-3.212999
86,pc_086,EH4 6AN,55.965715,-3.2781910000000005
87,pc_087,EH8 8FH,55.949289,-3.18003
88,pc_088,EH8 9JH,55.94245600000001,-3.182801
89,pc_089,EH11 2DW,55.943707999999994,-3.219824
90,pc_090,EH14 2LQ,55.913231999999994,-3.261489
91,pc_091,EH3 9FE,55.942707999999996,-3.1972009999999997
92,pc_092,EH7 4JZ,55.964016,-3.190346
93,pc_093,EH3 5AF,55.959038,-3.206019
94,pc_094,EH9 1SL,55.93709200000001,-3.178586
95,pc_095,EH7 6LW,55.958801,-3.146169
96,pc_096,EH3 9QG,55.943194999999996,-3.208072
97,pc_097,EH3 5DQ,55.959962,-3.201083
98,pc_098,EH18 1BF,55.880377,-3.118236
99,pc_099,EH8 7RP,55.948048,-3.13429
100,pc_100,EH4 1AW,55.959311,-3.219402
101,pc_101,EH11 2TJ,55.944553000000006,-3.2198189999999998
102,pc_102,EH12 9EG,55.93099100000001,-3.302945
103,pc_103,EH5 2LR,55.974241000000006,-3.2368900000000003
104,pc_104,EH14 5QP,55.898763,-3.316611
105,pc_105,EH16 5JT,55.931875,-3.163974
106,pc_106,EH1 2QP,55.945666,-3.19148
107,pc_107,EH5 3JD,55.978515,-3.209189
108,pc_108,EH20 9LZ,55.873560999999995,-3.163779
109,pc_109,EH1 3NX,55.959714,-3.185457
110,pc_110,EH4 7SJ,55.955452,-3.2913069999999998
111,pc_111,EH10 7BN,55.898255000000006,-3.20749
112,pc_112,EH7 4AT,55.960826000000004,-3.1838889999999997
113,pc_113,EH4 7AJ,55.96120500000001,-3.273734
114,pc_114,EH3 5EA,55.96220600000001,-3.199998
115,pc_115,EH14 5BY,55.905104,-3.2862739999999997
116,pc_116,EH9 1SL,55.93709200000001,-3.178586
117,pc_117,EH8 9JD,55.941391,-3.181022
118,pc_118,EH3 5ET,55.961358999999995,-3.2002599999999997
119,pc_119,EH11 2AT,55.94195600000001,-3.218921
120,pc_120,EH6 4EH,55.97821500000001,-3.183651
121,pc_121,EH8 7HB,55.952881999999995,-3.146843
122,pc_122,EH3 9HJ,55.942937,-3.198617
123,pc_123,EH6 5NU,55.973287,-3.183068
124,pc_124,EH10 6PS,55.90812800000001,-3.213156
125,pc_125,EH3 6TJ,55.95670300000001,-3.203175
126,pc_126,EH1 2PF,55.94919599999999,-3.194423
127,pc_127,EH3 5QH,55.967291,-3.205619
128,pc_128,EH4 6ES,55.962111,-3.290375
129,pc_129,EH10 6AU,55.921161,-3.210987
130,pc_130,EH12 5EZ,55.945485,-3.22004
131,pc_131,EH3 9JZ,55.942639,-3.202403
132,pc_132,EH4 7DR,55.95694399999999,-3.284389
133,pc_133,EH4 3ED,55.95277900000001,-3.2301990000000003
134,pc_134,EH3 9SR,55.947058999999996,-3.207617
135,pc_135,EH6 4QY,55.97171700000001,-3.193114
136,pc_136,EH4 5BP,55.963671999999995,-3.273318
137,pc_137,EH3 9LT,55.942048,-3.2012959999999997
138,pc_138,EH8 9LW,55.942811999999996,-3.185485
139,pc_139,EH9 1PL,55.939753,-3.182157
140,pc_140,EH6 6JJ,55.980912,-3.177819
141,pc_141,EH3 5AQ,55.958189000000004,-3.2056240000000003
142,pc_142,EH8 9JS,55.94325799999999,-3.185372
143,pc_143,EH6 5HX,55.970975,-3.1730150000000004
