,id,postcode,latitude,longitude
54,pc_054,N15 5JA,51.585163,-0.085801
55,pc_055,N11 1EY,51.629245000000004,-0.14921099999999998
56,pc_056,N9 9JJ,51.634103,-0.07114
57,pc_057,N9 8NP,51.631054,-0.044509
58,pc_058,N9 7PY,51.634021999999995,-0.064597
59,pc_059,N17 7HX,51.603269,-0.09270700000000001
60,pc_060,N22 8DE,51.602215,-0.12099700000000001
61,pc_061,N17 9YD,51.597688,-0.056685
62,pc_062,N17 9FS,51.593527,-0.055764999999999995
63,pc_063,N16 0LH,51.562584,-0.073793
64,pc_064,N14 4TB,51.644009000000004,-0.11688399999999999
65,pc_065,N16 6TS,51.576043,-0.068173
66,pc_066,N13 5EX,51.619811,-0.10523199999999999
67,pc_067,N17 9FY,51.588654999999996,-0.058066999999999994
68,pc_068,N18 3BW,51.608789,-0.042924000000000004
69,pc_069,N15 5AA,51.58528,-0.07813099999999999
70,pc_070,N16 5SA,51.566453,-0.075407
71,pc_071,N20 8BU,51.627381,-0.18595599999999998
72,pc_072,N13 4RE,51.620001,-0.11030899999999999
73,pc_073,N9 0TY,51.624649,-0.059001
74,pc_074,N17 9DH,51.594556,-0.063056
75,pc_075,N21 1SX,51.646776,-0.111147
76,pc_076,N16 5ED,51.570794,-0.08144
77,pc_077,N22 8JQ,51.607276,-0.112469
78,pc_078,N15 6PS,51.575943,-0.079593
79,pc_079,N17 6TR,51.589991999999995,-0.079202
80,pc_080,N11 2TP,51.608618,-0.123866
81,pc_081,N13 5DR,51.617325,-0.09386599999999999
82,pc_082,N13 5HS,51.61616,-0.100747
83,pc_083,N13 5XL,51.62057,-0.105966
84,pc_084,N14 6BW,51.630584999999996,-0.12829200000000002
85,pc_085,N16 0DJ,51.559117,-0.076796
86,pc_086,N21 3BA,51.626382,-0.097272
87,pc_087,N11 2BA,51.604455,-0.13063699999999998
88,pc_088,N16 0AY,51.561991,-0.07765599999999999
89,pc_089,N13 5DE,51.618936,-0.089522
90,pc_090,N13 5DS,51.61708400000001,-0.095609
91,pc_091,N16 6NA,51.568647999999996,-0.065759
92,pc_092,N11 1AT,51.615811,-0.12925
93,pc_093,N18 2TB,51.608939,-0.067715
94,pc_094,N17 9PS,51.585843,-0.058749
95,pc_095,N13 5AJ,51.62448,-0.094202
96,pc_096,N14 4BS,51.637453,-0.12926600000000002
97,pc_097,N15 3LX,51.589425,-0.095698
98,pc_098,N13 4QU,51.61934,-0.108877
99,pc_099,N21 2BD,51.638339,-0.08547
100,pc_100,N21 1JG,51.639202000000004,-0.111577
101,pc_101,N13 4QA,51.622655,-0.113723
102,pc_102,N22 7RU,51.600025,-0.125173
103,pc_103,N17 9GP,51.589926,-0.056486
104,pc_104,N17 8AJ,51.602222,-0.072101
