,depot,pc_001,pc_002,pc_003,pc_004,pc_005,pc_006,pc_007,pc_008,pc_009,pc_010,pc_011,pc_012,pc_013,pc_014,pc_015,pc_016,pc_017,pc_018,pc_019,pc_020,pc_021,pc_022,pc_023,pc_024,pc_025,pc_026,pc_027,pc_028,pc_029,pc_030,pc_031,pc_032,pc_033,pc_034,pc_035,pc_036,pc_037,pc_038,pc_039,pc_040,pc_041,pc_042,pc_043,pc_044,pc_045,pc_046,pc_047,pc_048,pc_049,pc_050
pc_021,5.9,21.31,8.96,2.03,5.07,10.16,5.44,7.96,4.0,28.54,24.96,34.32,6.29,12.41,12.26,23.52,34.88,4.05,20.41,9.28,0.78,0.0,3.29,28.09,4.24,2.76,3.79,31.78,1.31,5.01,48.55,48.54,39.19,6.68,7.39,14.84,35.68,29.47,5.13,3.45,6.31,2.43,3.72,5.6,26.53,2.69,7.58,15.87,7.05,6.37,3.89
pc_022,8.69,10.69,11.39,4.89,3.02,7.67,8.24,10.39,3.44,20.22,23.65,27.88,8.72,15.32,8.6,26.75,38.11,1.22,12.29,6.19,2.78,2.86,0.0,28.53,5.71,3.49,6.22,35.02,3.48,2.8,40.24,48.98,30.87,8.53,10.19,15.28,38.92,21.16,3.06,2.23,9.22,5.34,1.93,4.23,20.09,2.45,5.18,10.68,8.19,4.16,1.13
pc_023,33.69,32.15,33.6,33.09,30.33,34.27,32.3,32.41,27.16,39.38,48.73,29.79,29.43,37.0,21.15,47.17,58.64,27.2,23.0,35.22,28.27,28.02,28.54,0.0,37.5,25.54,29.26,55.55,27.06,30.11,59.39,20.58,50.03,35.16,33.07,15.05,59.45,40.31,39.6,28.0,34.33,36.2,30.83,24.19,27.35,40.41,33.24,22.35,35.58,40.68,28.17
pc_024,7.44,28.57,13.01,4.16,7.53,13.49,6.24,11.82,7.23,35.79,20.47,41.57,12.88,11.21,19.52,29.04,34.44,6.61,27.66,11.69,4.44,4.24,5.81,37.36,0.0,6.8,7.57,31.35,5.01,6.79,55.81,57.81,46.44,3.22,6.82,24.1,35.25,36.73,7.54,6.01,5.02,2.91,4.13,21.42,33.79,3.41,9.61,23.12,2.88,6.31,6.62
pc_025,16.16,16.82,10.63,5.42,6.83,18.93,8.13,9.62,2.57,24.04,31.2,29.82,7.95,19.46,7.76,29.64,41.11,3.54,15.91,8.94,3.31,2.76,3.77,25.58,6.68,0.0,5.46,38.01,2.46,6.61,44.06,46.03,34.69,9.12,15.53,12.32,41.91,24.98,6.86,2.59,16.79,4.87,4.75,3.73,22.04,4.5,7.24,11.37,9.49,7.41,4.29
pc_026,4.75,20.34,5.49,3.59,8.43,22.46,4.3,4.48,6.69,27.57,23.96,33.35,2.81,13.35,11.29,22.52,33.88,7.41,19.44,23.41,4.26,3.64,6.65,29.13,7.7,5.46,0.0,30.78,3.37,8.37,47.58,49.59,38.22,6.55,6.25,15.88,34.68,28.5,8.49,6.25,6.18,5.17,7.09,13.19,25.56,6.17,21.43,14.9,7.36,9.74,7.25
pc_027,29.74,47.29,31.66,30.79,37.59,49.41,30.0,30.47,39.63,54.52,17.05,60.3,31.53,21.27,38.24,9.91,2.75,36.57,46.39,50.36,32.97,32.18,35.81,56.08,33.54,38.01,31.25,0.0,32.76,37.54,74.53,76.54,65.17,31.2,29.11,42.83,7.82,55.45,37.65,40.47,30.37,32.24,37.17,40.14,52.51,36.45,48.38,41.85,31.62,39.35,36.41
pc_028,6.47,20.32,8.54,2.49,5.84,22.44,6.02,7.54,3.54,27.55,25.54,33.33,5.87,14.93,11.27,24.09,35.45,4.45,19.42,9.4,1.68,1.25,4.06,27.1,5.05,2.46,3.37,32.36,0.0,5.79,47.56,47.55,38.2,7.49,7.97,13.85,36.26,28.48,5.9,3.25,7.12,3.24,4.5,6.62,25.54,3.58,7.7,14.88,7.86,7.15,4.67
pc_029,10.87,8.71,13.57,7.06,0.29,5.69,10.41,12.56,4.87,18.24,26.72,32.4,10.89,17.47,10.42,28.93,40.29,2.76,14.46,4.24,4.87,5.04,2.64,30.33,6.74,6.61,8.4,37.2,5.66,0.0,38.26,55.26,28.89,9.47,13.07,17.08,41.09,19.18,0.25,4.24,11.27,7.04,2.79,6.05,18.87,3.64,3.1,13.05,9.14,2.29,2.04
pc_030,52.19,31.64,52.1,51.59,39.13,33.72,50.8,50.91,38.56,24.99,67.23,52.59,47.94,55.5,38.57,65.67,77.14,39.17,37.57,34.66,46.8,42.37,40.44,59.28,56.0,44.07,47.76,74.05,45.6,39.21,0.0,72.75,15.46,53.66,51.57,45.23,77.95,22.62,39.05,40.19,52.83,54.7,41.22,41.11,39.06,41.83,35.44,36.16,54.08,40.13,39.31
pc_031,54.17,45.7,54.08,53.57,53.23,47.81,52.77,52.89,47.64,49.08,69.21,25.85,49.91,57.48,41.63,67.05,68.7,47.68,37.17,48.76,48.74,48.5,49.44,20.61,57.97,46.01,49.73,68.88,47.54,49.88,72.94,0.0,55.68,55.64,53.55,35.53,79.92,53.85,53.14,48.48,54.81,56.68,51.31,44.67,37.42,50.65,46.79,38.28,56.05,54.22,48.06
pc_032,42.57,22.02,42.48,41.97,29.51,24.1,41.17,41.29,31.14,15.48,57.61,30.31,38.31,45.88,28.95,56.05,67.52,29.55,27.95,25.04,37.18,41.46,30.82,49.66,46.37,34.45,38.13,64.43,35.97,29.58,15.54,55.68,0.0,44.04,41.94,35.61,68.32,15.11,29.42,30.57,43.2,45.08,31.59,31.49,18.64,32.2,25.82,26.53,44.45,30.5,29.69
pc_033,5.57,26.7,11.14,5.41,10.33,28.81,3.65,9.95,10.02,33.92,18.68,39.7,11.01,9.34,17.64,27.16,32.57,9.41,25.79,29.76,7.19,6.99,8.61,35.49,3.29,9.55,6.91,29.48,7.76,9.59,53.94,55.94,44.57,0.0,4.94,22.23,33.37,34.85,10.34,8.81,2.78,4.56,6.93,19.55,31.92,6.2,12.4,21.25,1.08,9.11,9.42
pc_034,1.91,23.93,8.32,5.36,14.2,26.05,3.94,7.12,16.26,31.15,14.99,36.93,8.18,6.67,14.88,26.45,31.86,11.3,23.02,26.99,8.24,7.46,10.54,32.72,7.16,14.64,7.9,28.77,8.04,13.46,51.17,53.17,41.8,4.83,0.0,19.46,32.66,32.09,14.2,17.11,3.99,5.87,10.79,16.78,29.15,10.07,25.02,18.48,5.24,12.97,11.14
pc_035,20.39,18.09,20.3,19.79,17.02,20.21,18.99,19.1,13.85,25.31,35.42,27.71,16.13,23.69,7.85,33.87,45.34,13.89,12.23,21.15,14.96,14.71,15.23,14.82,24.19,12.23,15.95,42.24,13.76,16.8,45.33,35.27,35.96,21.85,19.76,0.0,46.14,26.25,17.06,14.7,21.02,22.89,17.53,10.88,23.31,27.1,19.18,10.79,22.27,26.61,14.86
pc_036,33.41,50.97,35.33,34.46,41.26,53.08,33.67,34.14,43.3,58.19,18.35,63.97,35.2,24.94,41.91,15.27,5.3,40.24,50.06,54.03,36.64,35.85,39.48,59.76,37.21,41.68,34.92,8.02,36.43,41.21,78.2,80.21,68.84,34.87,32.78,46.5,0.0,59.12,41.32,44.14,34.04,35.91,40.84,43.81,56.19,40.12,52.05,45.52,35.29,43.02,40.09
pc_037,33.31,12.76,33.22,32.71,20.25,14.84,31.91,32.03,21.08,6.11,48.35,33.71,29.05,36.62,19.69,46.79,58.26,20.29,18.69,15.78,27.92,32.2,21.56,40.4,37.11,25.19,28.88,55.17,26.71,20.32,22.72,53.87,14.57,34.78,32.69,26.35,59.06,0.0,20.16,21.31,33.95,35.82,22.33,22.23,20.18,22.95,16.56,17.27,35.2,21.25,20.43
pc_038,10.99,9.4,13.69,7.18,0.09,6.38,10.53,12.68,5.13,18.94,26.79,33.1,11.01,17.54,10.67,29.05,40.41,3.01,18.07,4.58,4.99,5.16,2.89,30.59,6.81,6.86,8.52,37.32,5.78,0.25,38.95,53.26,29.59,9.54,13.14,17.33,41.21,19.87,0.0,4.5,11.34,7.11,2.85,6.3,19.56,3.76,3.35,16.66,9.2,2.13,2.29
pc_039,8.94,10.58,10.97,4.83,5.1,7.56,8.48,9.97,1.97,20.12,23.59,28.01,8.3,15.26,8.17,26.55,37.91,1.45,11.86,6.68,2.65,2.62,2.5,27.42,5.79,2.3,5.8,34.82,2.8,4.88,40.13,47.88,30.77,8.61,10.43,14.17,38.72,21.05,5.13,0.0,9.17,5.28,3.49,3.8,23.88,3.2,4.98,10.25,8.27,6.14,2.21
pc_040,3.77,24.9,9.34,4.69,9.87,27.02,2.92,8.15,17.23,32.12,15.87,37.9,9.21,7.54,15.85,25.37,30.77,10.05,24.0,27.96,6.47,6.26,9.29,33.69,5.45,15.61,6.18,27.68,7.04,9.81,52.14,54.14,42.77,2.42,3.15,20.43,31.58,33.06,9.93,9.45,0.0,3.84,9.08,17.75,30.12,8.35,25.99,19.45,3.23,11.26,9.89
pc_041,6.21,27.34,10.16,1.65,6.03,29.46,3.78,8.97,7.1,34.56,18.31,40.34,7.97,9.98,18.29,27.81,33.21,6.48,26.44,11.71,2.63,2.43,5.72,36.13,2.91,4.99,5.06,30.12,3.2,5.97,54.58,56.58,45.21,4.25,5.59,22.87,34.02,35.5,6.09,5.89,3.88,0.0,4.55,9.03,32.56,3.62,10.01,21.89,5.07,7.77,6.33
pc_042,11.18,11.45,12.26,5.77,2.89,8.43,8.3,11.25,4.69,20.98,24.2,35.14,9.58,14.95,10.98,32.77,38.18,2.98,17.2,6.98,3.21,3.73,1.92,29.77,4.13,4.74,7.09,35.09,4.35,2.83,41.0,50.23,31.63,7.04,10.55,17.88,38.98,21.92,2.89,3.47,8.75,4.52,0.0,6.62,21.61,1.39,5.84,13.07,6.7,3.35,2.84
pc_043,18.27,13.47,18.17,8.25,6.14,7.58,16.87,16.98,2.28,20.7,33.3,24.45,14.01,21.57,4.37,31.75,43.21,3.01,8.3,6.69,6.24,5.6,4.35,24.28,9.24,3.73,13.83,40.12,5.56,5.92,40.71,44.74,31.35,19.73,17.64,11.03,44.02,21.63,6.17,3.85,18.9,7.8,6.68,0.0,18.69,6.39,4.99,6.7,20.15,8.21,3.98
pc_044,30.09,12.09,30.0,29.49,19.63,14.21,28.69,28.81,18.66,12.13,45.13,12.06,25.83,33.4,16.47,43.57,55.04,19.66,11.88,15.16,24.7,28.98,20.93,27.35,33.9,21.97,25.66,51.95,23.5,19.7,39.33,37.42,19.46,31.56,29.46,23.13,55.84,20.25,19.54,20.69,30.73,32.6,21.71,19.01,0.0,22.32,15.94,14.05,31.98,20.62,19.8
pc_045,10.44,11.93,16.01,4.89,3.57,8.92,7.42,14.81,4.41,21.47,23.46,44.57,8.85,14.21,22.51,32.03,37.44,3.79,30.66,7.47,2.48,3.0,2.53,40.35,3.39,4.46,6.36,34.35,3.62,3.52,41.49,60.81,32.12,6.21,9.81,27.1,38.24,22.41,3.63,3.2,8.02,3.64,1.24,6.34,36.78,0.0,6.33,26.12,5.88,4.96,3.35
pc_046,26.2,5.82,26.11,9.16,3.73,2.8,12.52,24.91,4.73,15.35,41.23,29.51,21.94,29.5,12.58,39.68,51.15,3.94,11.57,1.82,7.02,7.14,5.67,33.29,9.86,6.46,10.28,48.05,7.28,3.31,35.37,46.76,26.0,12.68,25.57,19.24,51.95,16.29,3.64,4.96,26.83,8.51,5.98,5.05,15.98,6.59,0.0,10.16,12.34,4.7,4.08
pc_047,19.51,9.02,19.42,18.91,16.56,11.14,18.12,18.23,8.73,16.25,34.55,17.02,15.26,22.82,3.93,32.99,44.46,9.46,1.69,12.09,14.12,18.41,10.8,22.42,23.32,11.39,15.08,41.37,12.92,13.21,36.26,38.29,26.9,20.98,18.89,11.6,45.27,17.18,16.47,10.3,20.15,22.02,13.13,6.71,14.24,26.23,10.11,0.0,21.4,17.55,10.43
pc_048,5.68,26.81,11.25,5.95,10.07,28.92,4.18,10.05,9.77,34.03,18.7,39.81,11.12,9.45,17.75,27.27,32.68,9.15,25.9,29.87,7.73,7.52,8.35,35.59,3.04,17.52,7.44,29.59,8.3,9.33,54.05,56.05,44.68,1.16,5.05,22.34,33.48,34.96,10.08,8.55,3.26,5.1,6.67,19.66,32.03,5.95,12.14,21.36,0.0,8.85,9.16
pc_049,13.3,10.41,18.87,9.29,2.24,7.39,12.1,17.68,7.18,19.94,26.33,34.1,12.36,17.07,20.08,34.9,40.3,5.37,19.08,5.58,7.18,6.5,4.3,40.8,6.26,7.53,9.87,37.21,7.13,2.31,39.96,54.26,30.59,9.08,12.68,26.74,45.15,20.88,2.15,6.26,10.88,8.04,3.34,8.36,20.57,5.36,4.73,17.67,8.74,0.0,4.34
pc_050,9.74,9.69,12.44,5.93,2.08,6.67,9.28,11.43,2.5,19.22,23.16,26.78,9.76,14.83,8.26,27.8,39.16,0.72,12.87,5.78,3.36,3.9,1.38,28.18,6.49,4.73,7.27,36.07,5.03,1.86,39.24,48.06,29.87,9.31,11.23,14.92,39.96,20.16,2.11,2.21,8.73,4.85,2.85,3.89,19.0,3.49,4.08,10.34,8.98,4.15,0.0
